2017-09-01 22:13:25,561 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-09-01 22:13:25,681 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-09-01 22:13:25,708 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-09-01 22:13:25,708 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-09-01 22:13:25,725 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-09-01 22:13:25,725 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-09-01 22:13:25,730 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.221 seconds
2017-09-01 22:13:30,735 | INFO | CamelTestSupport.java 373 | ********************************************************************************
2017-09-01 22:13:30,736 | INFO | CamelTestSupport.java 374 | Testing done: checkFileExistsInOutputDirectory(com.matthew.file.CopyFileRouteTest)
2017-09-01 22:13:30,736 | INFO | CamelTestSupport.java 375 | Took: 5.005 seconds (5005 millis)
2017-09-01 22:13:30,736 | INFO | CamelTestSupport.java 402 | ********************************************************************************
2017-09-01 22:13:30,740 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-09-01 22:13:30,741 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2017-09-01 22:13:30,744 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-09-01 22:13:30,745 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-09-01 22:13:30,758 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.254 seconds
2017-09-01 22:13:30,758 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.018 seconds
2017-09-01 22:14:10,342 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-09-01 22:14:10,347 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-09-01 22:14:10,742 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-09-01 22:14:10,772 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-09-01 22:14:10,928 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-09-01 22:14:10,932 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-09-01 22:14:10,932 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-09-01 22:14:10,979 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-09-01 22:14:10,979 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-09-01 22:14:11,008 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-09-01 22:14:11,012 | INFO | DefaultCamelContext.java 3693 | Route: route2 started and consuming from: file://data/input1?noop=true
2017-09-01 22:14:11,013 | INFO | DefaultCamelContext.java 2947 | Total 2 routes, of which 2 are started.
2017-09-01 22:14:11,016 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.673 seconds
2017-09-01 22:14:12,030 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-jeremys-iMac-gateway-52357-1504268049896-0-2, CamelFileAbsolute=false, CamelFileAbsolutePath=/Users/jeremychik/Camel/learncamelsimplefile/data/input/File1.txt, CamelFileLastModified=1503567476000, CamelFileLength=14, CamelFileName=File1.txt, CamelFileNameConsumed=File1.txt, CamelFileNameOnly=File1.txt, CamelFileParent=data/input, CamelFilePath=data/input/File1.txt, CamelFileRelativePath=File1.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[File1.txt]]]
